제목,채널 명,스트리밍 시작 시간,댓글 작성자,댓글 내용,댓글 작성 시간
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,최사장,:face-orange-raised-eyebrow:이태원참사랑 구청장이 뭔 상관이랭?,2024-09-30 15:57:01
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,구름,어서오곰님 박홍배님은 주사파 아니랑게ㆍ우리 친구여 상진님하고 같이,2024-09-30 15:57:05
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,탄,"겨울엔___"" 새로운 대통령""___ 뽑아요",2024-09-30 15:57:05
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,수구레뉴스,":fire:군인도 사람이다! 10월 1일 '국군의 날"" 쉬게하라!! 대한민국 국방력 세계 5위(북한은 34위→36위로 하락!)다! 투쟁!!",2024-09-30 15:57:07
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,어서오곰,울 조상은 왕족이였다,2024-09-30 15:57:08
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,문재인,사실상 그놈들 때문에 저런 일이 발생한건데?,2024-09-30 15:57:10
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,박홍배,희금아.난.까졎응께.곰들거까주레이,2024-09-30 15:57:19
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,어서오곰,다 내 머슴이곰 웅,2024-09-30 15:57:22
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,MOYA,쌍판 보니 덜덜덜 덜덜덜 사시나무 :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,2024-09-30 15:57:22
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,탄,"윤석열이___"" 탄핵이""__ 필요한거죠",2024-09-30 15:57:29
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,어서오곰,:grinning_squinting_face:,2024-09-30 15:57:34
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,잡아먹곰,박홍배 나이도 어린것이 형한테 까분겨? 엎뜨려뻗쳐,2024-09-30 15:57:36
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,JoCAD,난 윤석열 좋은데,2024-09-30 15:57:39
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,허경영강연 검색,:yt:70억씩 세금 내고 내 이름을 써서 내 이름을 쓰면 일단 우유가 영원히 안 썩습니다. 왜 우유가 안 썩느냐? 그건 여러분들이 알아봐 ,2024-09-30 15:57:42
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,김대승,분노와 혐오의 정치는 히틀러의 나치서나 보던 것. 어찌 대한민국이 검찰독재로 변질 되었나. 해결책은 있는가,2024-09-30 15:57:50
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,화자 남,이언주사악해보인다얼굴이,2024-09-30 15:57:55
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,라벤더,:seedling:,2024-09-30 15:57:56
[LIVE] 대한민국 24시간 뉴스채널 YTN 2024-09-30 15:57,YTN,2022-07-11 18:19:59Z,탄,"윤석욜의___"" 탄핵이""__ 필요한거죠",2024-09-30 15:58:02
